Xi,Lambda,Omega,Simga,Delta,Theta
0.00014167966154250743,0.0036103121779934404,2.0776577052521636,6.296873846333662e-05,0.0036417965472251086,2.0776104786983165
2.4869098879555194e-05,0.0006346698450548291,0.2072774721292315,1.1052932835357862e-05,0.0006401963114725079,0.20726918242960501
5.813965048543603e-06,0.00014744023660117958,0.03135283152072101,2.5839844660193783e-06,0.00014873222883418928,0.031350893532371506
1.59143180911435e-06,3.966802429694022e-05,0.006007151212050304,7.073030262730444e-07,4.0021675810076746e-05,0.0060066207347806
4.793469772946348e-07,1.1599732974779325e-05,0.0013337433208328376,2.1304310101983762e-07,1.1706254525289243e-05,0.0013335835385070729
1.5335518246613153e-07,3.556470572419376e-06,0.0003258280608106463,6.815785887383621e-08,3.5905495018562936e-06,0.00032577694241649093
5.096197183649737e-08,1.1177335404298593e-06,8.47011063046576e-05,2.2649765260665495e-08,1.129058423060192e-06,8.468411898071209e-05
1.7333919407850022e-08,3.547387163491051e-07,2.288461966264125e-05,7.703964181266674e-09,3.5859069843973845e-07,2.28788416895053e-05
5.976514144586602e-09,1.1261052593439248e-07,6.312581624433714e-06,2.6562285087051557e-09,1.1393864018874506e-07,6.310589453052185e-06
2.0767863801934993e-09,3.560758471588082e-08,1.752171612552411e-06,9.230161689748884e-10,3.606909280036826e-08,1.75147935042568e-06
